setting,shape,seed,method,half,cells,lo_ratio,cov,seconds
n23,normal,290004,Plug,2.280513955235568,25,0.6184604083052707,0.9774227759269808,
n23,normal,290004,Dlow,2.348614805847792,25,0.6184604083052707,0.9811566108564328,
n23,normal,290004,S,2.3533073476009143,25,0.6184604083052707,0.9813927528932728,
n23,normal,290009,CP_PAC,2.774575684773425,25,0.7795348943316001,0.9944726228749076,
n23,normal,290009,Oracle,2.5620234439044154,25,0.7795348943316001,0.9895935706344244,
n23,normal,290009,Oracle04,2.593295271050255,25,0.7795348943316001,0.9904938882544332,
n23,normal,290009,Plug,2.562732346854505,25,0.7795348943316001,0.9896147926085216,
n23,normal,290009,Dlow,2.638959635719505,25,0.7795348943316001,0.9916839118136194,
n23,normal,290009,S,2.644232287601195,25,0.7795348943316001,0.9918123553854412,
n23,normal,290006,CP_PAC,2.9954336574622262,27,0.8334319405694612,0.9972594509008692,
n23,normal,290006,Oracle,2.7995693660245973,27,0.8334319405694612,0.9948829179028578,
n23,normal,290006,Oracle04,2.832547199650221,27,0.8334319405694612,0.9953821251948992,
n23,normal,290006,Plug,2.786195500995872,27,0.8334319405694612,0.9946669303259624,
n23,normal,290006,Dlow,2.861753175556977,27,0.8334319405694612,0.9957869513444456,
n23,normal,290006,S,2.867470969820215,27,0.8334319405694612,0.9958623323774451,
n23,normal,290008,CP_PAC,3.023307431923039,28,0.8270968423313803,0.997499719012836,
n23,normal,290008,Oracle,2.829088951054422,28,0.8270968423313803,0.9953319277459274,
n23,normal,290008,Oracle04,2.8622763135903333,28,0.8270968423313803,0.995793899594837,
n23,normal,290008,Plug,2.818610129977475,28,0.8270968423313803,0.9951767938016468,
n23,normal,290008,Dlow,2.891851712289286,28,0.8270968423313803,0.9961702133907926,
n23,normal,290008,S,2.897629643549009,28,0.8270968423313803,0.9962400569659036,
n23,normal,290007,CP_PAC,2.6409297321249983,29,0.6186531086591991,0.9917321134708555,
n23,normal,290007,Oracle,2.415000287684309,29,0.6186531086591991,0.9842648027387564,
n23,normal,290007,Oracle04,2.445285168003833,29,0.6186531086591991,0.9855262350757878,
n23,normal,290007,Plug,2.4648379240562326,29,0.6186531086591991,0.9862924760134412,
n23,normal,290007,Dlow,2.528404404719069,29,0.6186531086591991,0.9885417714682724,
n23,normal,290007,S,2.533456166808102,29,0.6186531086591991,0.9887056134978942,
n23,normal,290015,CP_PAC,2.183708321321696,17,0.6902909968327028,0.9710163120766766,
n23,normal,290015,Oracle,1.8815127626908728,17,0.6902909968327028,0.9400977991924712,
n23,normal,290015,Oracle04,1.9089968482545896,17,0.6902909968327028,0.9437375017527612,
n23,normal,290015,Plug,1.927830097086968,17,0.6902909968327028,0.946123737193248,
n23,normal,290015,Dlow,2.0198742222966897,17,0.6902909968327028,0.9566035642441028,
n23,normal,290015,S,2.023909939052193,17,0.6902909968327028,0.9570205808943012,
n23,normal,290017,CP_PAC,2.369040948214565,17,0.8043335873871954,0.9821657211856084,
n23,normal,290017,Oracle,2.104881829569605,17,0.8043335873871954,0.9646984042438628,
n23,normal,290017,Oracle04,2.1333529856379227,17,0.8043335873871954,0.9671042193088196,
n23,normal,290017,Plug,2.094055480011744,17,0.8043335873871954,0.9637449616770032,
n23,normal,290017,Dlow,2.19365325788877,17,0.8043335873871954,0.9717396534552744,
n23,normal,290017,S,2.19803618585077,17,0.8043335873871954,0.9720534726319484,
n23,normal,290020,CP_PAC,2.2840481468304774,15,0.824402690138282,0.9776312985014012,
n23,normal,290020,Oracle,2.0038833619748004,15,0.824402690138282,0.9549174437745808,
